sum,state
2,Alabama
40,Alaska
365,Arizona
176,Arkansas
2047,California
172,Colorado
145,Connecticut
57,Delaware
0,District of Columbia
1170,Florida
584,Georgia
23,Hawaii
29,Idaho
528,Illinois
307,Indiana
51,Iowa
90,Kansas
211,Kentucky
511,Louisiana
33,Maine
403,Maryland
122,Massachusetts
731,Michigan
116,Minnesota
179,Mississippi
423,Missouri
23,Montana
56,Nebraska
136,Nevada
15,New Hampshire
405,New Jersey
112,New Mexico
682,New York
503,North Carolina
14,North Dakota
475,Ohio
239,Oklahoma
97,Oregon
766,Pennsylvania
37,Rhodes Island
349,South Carolina
16,South Dakota
440,Tennessee
1267,Texas
57,Utah
10,Vermont
334,Virginia
215,Washington
72,West Virginia
181,Wisconsin
17,Wyoming